安徽频道,#genre#
安徽卫视,http://110.178.52.91:8082/rtp/239.1.1.44:8044$1920x1080
安徽卫视,http://60.220.167.245:8083/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://117.32.84.221:8014/rtp/239.112.205.72:5140$1920x1080
安徽卫视,http://27.10.76.34:8004/rtp/225.0.4.133:7980$1920x1080
安徽卫视,http://27.10.76.34:8001/rtp/225.0.4.133:7980$1920x1080
安徽卫视,http://1.70.35.220:8085/rtp/239.1.1.44:8044$1920x1080
安徽卫视,http://118.81.48.104:8083/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://113.225.160.60:8888/rtp/232.0.0.141:1234$1920x1080
安徽卫视,http://27.11.52.62:8005/rtp/225.0.4.133:7980$1920x1080
安徽卫视,http://27.10.78.25:8010/rtp/225.0.4.133:7980$1920x1080
安徽卫视,http://101.31.57.76:4022/rtp/239.253.92.209:6566$1920x1080
安徽卫视,http://27.11.56.206:8010/rtp/225.0.4.133:7980$1920x1080
安徽卫视,http://39.77.2.151:8989/rtp/239.253.254.87:8000$1920x1080
安徽卫视,http://115.49.75.58:4000/rtp/225.1.4.87:1116$1920x1080
安徽卫视,http://27.11.104.61:8003/rtp/225.0.4.133:7980$1920x1080
安徽经济生活,http://114.98.161.172:2000/rtp/238.1.79.44:4464$1920x1080
安徽经济生活,http://183.165.34.82:5555/rtp/238.1.79.44:4464$1920x1080
安徽影视,http://183.165.34.82:5555/rtp/238.1.79.42:4448$1920x1080
安徽影视,http://114.98.161.172:2000/rtp/238.1.79.42:4448$1920x1080
安徽公共,http://223.241.247.214:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
安徽国际,http://36.35.16.98:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
马鞍山新闻,http://223.241.247.214:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
马鞍山公共,http://223.241.247.214:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
央视频道,#genre#
CCTV1 综合,http://27.10.76.34:8002/rtp/225.0.4.74:7980$1920x1080
CCTV1 综合,http://27.11.104.61:8005/rtp/225.0.4.74:7980$1920x1080
CCTV1 综合,http://27.11.104.61:8004/rtp/225.0.4.74:7980$1920x1080
CCTV1 综合,http://27.11.55.179:8003/rtp/225.0.4.74:7980$1920x1080
CCTV1 综合,http://27.11.49.234:8004/rtp/225.0.4.74:7980$1920x1080
