安徽频道,#genre#
安徽卫视,http://110.178.52.75:8085/rtp/239.1.1.44:8044$1920x1080
安徽卫视,http://27.11.52.62:8003/rtp/225.0.4.133:7980$1920x1080
安徽卫视,http://110.87.12.51:5550/rtp/239.61.2.248:9476$1920x1080
安徽卫视,http://42.4.217.176:9009/rtp/232.0.0.141:1234$1920x1080
安徽卫视,http://27.10.227.109:8001/rtp/225.0.4.133:7980$1920x1080
安徽卫视,http://114.254.94.118:2222/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://42.4.217.176:9003/rtp/232.0.0.141:1234$1920x1080
安徽卫视,http://223.12.154.103:8082/rtp/239.1.1.44:8044$1920x1080
安徽卫视,http://115.225.32.138:4000/rtp/233.50.201.113:5140$1920x1080
安徽卫视,http://223.12.12.89:8084/rtp/239.1.1.44:8044$1920x1080
安徽卫视,http://171.213.133.18:5555/rtp/239.93.1.106:5140$1920x1080
安徽卫视,http://111.196.132.49:20000/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://60.220.167.197:8083/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://118.79.119.204:8000/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://171.213.207.69:4022/rtp/239.93.1.106:5140$1920x1080
安徽卫视,http://118.79.113.64:6000/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://223.13.160.204:4022/rtp/239.1.1.44:8044$1920x1080
安徽卫视,http://118.79.7.119:6001/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://117.32.85.6:8014/rtp/239.112.205.72:5140$1920x1080
安徽卫视,http://60.27.20.30:5555/rtp/225.1.1.127:5002$1920x1080
安徽卫视,http://222.67.70.102:5555/rtp/239.45.1.120:5140$1920x1080
安徽卫视,http://111.165.213.195:8000/rtp/225.1.1.127:5002$1920x1080
安徽卫视,http://171.212.235.244:17777/rtp/239.93.1.106:5140$1920x1080
安徽卫视,http://222.212.152.220:4443/rtp/239.93.1.106:5140$1920x1080
安徽卫视,http://183.185.137.146:8004/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://1.82.70.88:8010/rtp/239.112.205.72:5140$1920x1080
安徽卫视,http://114.254.188.49:9999/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://114.246.193.16:8888/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://27.10.214.78:8001/rtp/225.0.4.133:7980$1920x1080
安徽卫视,http://171.120.103.101:5555/rtp/226.0.2.145:9072$1920x1080
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
安徽公共,http://223.241.247.214:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
安徽国际,http://36.35.16.98:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
芜湖公共,https://live3.wuhunews.cn/channel3/playlist.m3u8?_upt=d1d8b8d21723272002
芜湖生活,https://live3.wuhunews.cn/channel2/playlist.m3u8?_upt=790ba7031723271633
马鞍山新闻,http://223.241.247.214:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
马鞍山公共,http://223.241.247.214:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
亳州农村,http://zbbf2.ahbztv.com/live/418.m3u8
央视频道,#genre#
CCTV1 综合,http://171.118.210.238:8083/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://171.120.214.114:8082/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://118.79.113.64:6000/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://171.125.90.130:6000/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://118.81.201.116:8085/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://171.116.36.42:8082/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://60.223.68.81:10000/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://171.122.158.51:8085/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://171.120.103.101:5555/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://60.220.167.241:8083/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://183.184.170.93:8002/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://171.117.70.185:8085/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://221.205.180.219:8005/rtp/226.0.2.153:9136$1920x1080
CCTV1 综合,http://222.186.57.43:22222/php/migu.php?id=cctv1$1920x1080
CCTV1 综合,http://123.146.40.167:8003/rtp/225.0.4.74:7980
CCTV1 综合,http://27.10.77.52:8005/rtp/225.0.4.74:7980
CCTV1 综合,http://113.206.128.173:8005/rtp/225.0.4.74:7980
CCTV1 综合,http://27.11.52.62:8003/rtp/225.0.4.74:7980
CCTV1 综合,http://27.11.60.108:8001/rtp/225.0.4.74:7980
CCTV1 综合,http://27.10.214.78:8001/rtp/225.0.4.74:7980
CCTV1 综合,http://123.145.42.143:58888/rtp/225.0.4.74:7980
CCTV1 综合,http://27.10.227.109:8001/rtp/225.0.4.74:7980
CCTV1 综合,http://27.11.59.255:8007/rtp/225.0.4.74:7980
CCTV1 综合,http://211.158.153.132:8004/rtp/225.0.4.74:7980
CCTV1 综合,http://123.144.180.82:55555/rtp/225.0.4.74:7980
CCTV1 综合,http://27.10.76.34:8006/rtp/225.0.4.74:7980
CCTV1 综合,http://211.158.154.62:8001/rtp/225.0.4.74:7980
CCTV1 综合,http://27.9.88.181:55555/rtp/225.0.4.74:7980
CCTV1 综合,http://123.145.74.130:8002/rtp/225.0.4.74:7980
CCTV1 综合,http://27.11.104.133:8007/rtp/225.0.4.74:7980
CCTV2 财经,http://118.79.7.119:6001/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.122.158.51:8085/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.118.109.218:8085/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.118.210.238:8083/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.118.210.200:8083/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://118.79.113.64:6000/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://60.220.167.130:8085/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.116.36.42:8082/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.125.90.130:6000/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.122.158.51:8084/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.127.71.107:8084/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://183.185.220.133:8083/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.117.70.185:8085/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://183.184.170.93:8002/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://221.205.180.219:8005/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://60.223.68.81:10000/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://118.81.201.116:8085/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://171.120.103.101:5555/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://60.220.167.241:8083/rtp/226.0.2.154:9144$1920x1080
CCTV2 财经,http://222.186.57.43:22222/php/migu.php?id=CCTV2$1920x1080
CCTV2 财经,http://123.146.40.167:8003/rtp/225.0.4.132:7980
CCTV2 财经,http://27.10.77.52:8005/rtp/225.0.4.132:7980
CCTV2 财经,http://113.206.128.173:8005/rtp/225.0.4.132:7980
CCTV2 财经,http://27.11.52.62:8003/rtp/225.0.4.132:7980
CCTV2 财经,http://27.11.60.108:8001/rtp/225.0.4.132:7980
CCTV2 财经,http://27.10.214.78:8001/rtp/225.0.4.132:7980
CCTV2 财经,http://123.145.42.143:58888/rtp/225.0.4.132:7980
CCTV2 财经,http://27.10.227.109:8001/rtp/225.0.4.132:7980
CCTV2 财经,http://27.11.59.255:8007/rtp/225.0.4.132:7980
CCTV2 财经,http://211.158.153.132:8004/rtp/225.0.4.132:7980
CCTV3 综艺,http://60.220.167.130:8083/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.122.158.51:8085/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.118.109.218:8085/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://118.79.7.119:6001/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://124.163.112.186:8000/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.118.210.200:8083/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.118.210.238:8083/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.116.36.42:8082/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.127.71.107:8084/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.127.71.107:8085/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://118.79.113.64:6000/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://118.79.119.204:8000/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.117.70.185:8085/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://183.185.220.133:8083/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://60.220.167.241:8083/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://118.81.201.116:8085/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://171.120.103.101:5555/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://183.184.170.93:8002/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://221.205.180.219:8005/rtp/226.0.2.208:9576$1920x1080
CCTV3 综艺,http://222.186.57.43:22222/php/migu.php?id=CCTV3$1920x1080
CCTV3 综艺,http://60.220.167.130:8085/rtp/226.0.2.208:9576
CCTV3 综艺,http://123.146.40.167:8003/rtp/225.0.4.142:7980
CCTV3 综艺,http://27.10.77.52:8005/rtp/225.0.4.142:7980
CCTV3 综艺,http://113.206.128.173:8005/rtp/225.0.4.142:7980
CCTV3 综艺,http://27.11.52.62:8003/rtp/225.0.4.142:7980
CCTV3 综艺,http://27.11.60.108:8001/rtp/225.0.4.142:7980
CCTV3 综艺,http://27.10.214.78:8001/rtp/225.0.4.142:7980
CCTV3 综艺,http://123.145.42.143:58888/rtp/225.0.4.142:7980
CCTV3 综艺,http://27.10.227.109:8001/rtp/225.0.4.142:7980
CCTV3 综艺,http://27.11.59.255:8007/rtp/225.0.4.142:7980
CCTV4 中文国际,http://171.118.210.238:8083/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://61.240.38.128:8084/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://171.116.183.226:8084/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://171.118.210.200:8083/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://171.122.158.51:8085/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://171.127.71.107:8084/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://171.127.71.107:8085/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://118.79.113.64:6000/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://118.79.7.119:6001/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://171.117.124.55:8085/rtp/226.0.2.156:9160$1920x1080
CCTV4 中文国际,http://171.122.158.51:8084/rtp/226.0.2.156:9160$1920x1080
